Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;406.764;122.330;1.697;0.002;path14352;;;;
2;W-002;W;406.764;215.834;1.697;0.003;path14348;;;;
3;W-003;W;498.570;341.750;2.207;0.000;path14332;;;;
4;W-004;W;355.006;189.529;1.697;0.170;path14360;;;;
5;W-005;W;368.074;201.410;2.207;0.000;path14356;;;;
6;W-006;W;498.570;293.725;2.206;0.000;path14336;;;;
7;W-007;W;498.570;383.578;2.164;0.086;path14328;;;;
8;W-008;W;483.891;268.186;2.122;0.112;path14340;;;;
9;W-009;W;406.764;223.639;1.697;0.000;path14344;;;;
