Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;392.170;445.264;1.697;0.003;path10222;;;;
2;W-002;W;392.170;431.518;1.697;0.002;path10226;;;;
3;W-003;W;392.170;163.652;1.655;0.002;path10230;;;;
