Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;347.029;208.961;1.655;0.002;path13531;;;;
2;W-002;W;478.037;284.561;1.697;0.003;path13527;;;;
3;W-003;W;485.842;289.143;1.697;0.002;path13523;;;;
4;W-004;W;485.842;557.096;1.697;0.003;path13519;;;;
5;W-005;W;485.842;139.131;1.697;0.002;path13535;;;;
6;W-006;W;482.619;127.422;1.696;0.083;path13539;;;;
