Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;122.691;169.506;2.206;0.002;path12469;;;;
2;W-002;W;137.285;195.131;2.206;0.000;path12473;;;;
3;W-003;W;137.285;226.102;2.164;0.000;path12477;;;;
4;W-004;W;152.049;251.641;2.206;0.084;path12481;;;;
5;W-005;W;273.297;321.555;2.164;0.041;path12495;;;;
6;W-006;W;238.596;301.531;1.696;0.001;path12485;;;;
7;W-007;W;238.680;293.641;1.781;0.017;path12491;;;;
8;W-008;W;359.164;288.973;2.164;0.102;path12503;;;;
9;W-009;W;302.570;321.555;2.207;0.081;path12499;;;;
10;W-010;W;388.438;288.973;2.207;0.145;path12507;;;;
11;W-011;W;445.795;314.260;1.781;0.003;path12517;;;;
12;W-012;W;445.795;322.064;1.697;0.001;path12511;;;;
13;W-013;W;493.818;349.725;1.697;0.086;path12521;;;;
14;W-014;W;493.820;341.834;1.825;0.043;path12527;;;;
15;W-015;W;594.875;400.125;1.738;0.001;path12537;;;;
16;W-016;W;594.959;407.932;1.697;0.001;path12531;;;;
17;W-017;W;627.455;426.768;1.740;0.043;path12541;;;;
18;W-018;W;627.455;419.047;1.782;0.000;path12547;;;;
19;W-019;W;707.129;472.756;2.206;0.172;path12551;;;;
