Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;T;657.487;513.469;4.581;0.176;;;;;
2;W-002;W;509.432;427.787;1.697;0.036;path10186;;;;
3;W-003;W;495.855;419.979;1.696;0.001;path10190;;;;
4;W-004;W;226.461;264.367;1.738;0.086;path10194;;;;
